ID,His_Score,Ile_Score,Leu_Score,Lys_Score,SAA_Score,AAA_Score,Thr_Score,Trp_Score,Val_Score,His_Lim,Ile_Lim,Leu_Lim,Lys_Lim,SAA_Lim,AAA_Lim,Thr_Lim,Trp_Lim,Val_Lim,Limiting_AA,Limiting_AA_Score,PDCAAS,newLocation,POP,entry,,,
Chim.104.FS1,1.555555556,1.325806452,1.011111111,1.105769231,1.580769231,1.484782609,1.351851852,1.675675676,1.145238095,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.839222222,Chimacum,104,FS1,,,
Chim.0.Cherry Vanilla,1.45,1.261290323,0.973015873,1.017307692,1.503846154,1.4,1.277777778,1.351351351,1.111904762,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.807603175,Chimacum,0,Cherry Vanilla,,,
Chim.102.FS13,1.511111111,1.341935484,1.023809524,1.094230769,1.534615385,1.476086957,1.351851852,1.378378378,1.211904762,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.849761905,Chimacum,102,FS13,,,
Chim.104.FS2,1.422222222,1.319354839,1.014285714,1.082692308,1.542307692,1.463043478,1.325925926,1.5,1.176190476,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.841857143,Chimacum,104,FS2,,,
Chim.104.FS20,1.433333333,1.251612903,0.941269841,0.994230769,1.492307692,1.386956522,1.237037037,1.540540541,1.104761905,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.781253968,Chimacum,104,FS20,,,
Chim.0.Kaslaea,1.6,1.393548387,1.076190476,1.173076923,1.696153846,1.565217391,1.411111111,1.608108108,1.230952381,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.893238095,Chimacum,0,Kaslaea,,,
Chim.104.FS27,1.544444444,1.319354839,0.974603175,1.069230769,1.603846154,1.415217391,1.3,1.378378378,1.130952381,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.808920635,Chimacum,104,FS27,,,
Chim.102.FS31,1.605555556,1.374193548,1.046031746,1.144230769,1.638461538,1.519565217,1.4,1.635135135,1.185714286,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.868206349,Chimacum,102,FS31,,,
Chim.108.FS33,1.566666667,1.338709677,1.026984127,1.132692308,1.596153846,1.495652174,1.351851852,1.567567568,1.164285714,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.852396825,Chimacum,108,FS33,,,
Chim.102.FS4,1.538888889,1.325806452,1.017460317,1.05,1.523076923,1.445652174,1.318518519,1.5,1.15,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.844492063,Chimacum,102,FS4,,,
Chim.108.FS34,1.494444444,1.287096774,1,1.063461538,1.507692308,1.452173913,1.307407407,1.459459459,1.133333333,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.83,Chimacum,108,FS34,,,
Chim.108.FS39,1.355555556,1.206451613,0.928571429,0.984615385,1.530769231,1.341304348,1.233333333,1.310810811,1.064285714,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.770714286,Chimacum,108,FS39,,,
Chim.0.CO407Dave,1.6,1.390322581,1.06984127,1.209615385,1.692307692,1.582608696,1.42962963,1.702702703,1.219047619,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.887968254,Chimacum,0,CO407Dave,,,
Chim.105.FS43,1.533333333,1.361290323,1.022222222,1.061538462,1.473076923,1.5,1.307407407,1.445945946,1.169047619,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.848444444,Chimacum,105,FS43,,,
Chim.108.FS46,1.583333333,1.377419355,1.03015873,1.111538462,1.573076923,1.489130435,1.318518519,1.567567568,1.207142857,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.855031746,Chimacum,108,FS46,,,
Chim.108.FS51,1.533333333,1.322580645,1.011111111,1.096153846,1.576923077,1.473913043,1.303703704,1.581081081,1.157142857,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.839222222,Chimacum,108,FS51,,,
Chim.102.FS52,1.616666667,1.422580645,1.076190476,1.169230769,1.626923077,1.552173913,1.437037037,1.905405405,1.238095238,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.893238095,Chimacum,102,FS52,,,
Chim.108.FS54,1.427777778,1.290322581,0.982539683,1.030769231,1.538461538,1.445652174,1.259259259,1.432432432,1.133333333,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.815507937,Chimacum,108,FS54,,,
Chim.104.FS60,1.516666667,1.34516129,1.006349206,1.109615385,1.573076923,1.465217391,1.337037037,1.72972973,1.164285714,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.835269841,Chimacum,104,FS60,,,
Chim.107.FS67,1.566666667,1.364516129,1.03968254,1.1,1.561538462,1.55,1.351851852,1.459459459,1.204761905,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.862936508,Chimacum,107,FS67,,,
Chim.102.FS8,1.4,1.258064516,0.977777778,1.067307692,1.5,1.432608696,1.318518519,1.527027027,1.114285714,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.811555556,Chimacum,102,FS8,,,
Chim.104.FS73,1.594444444,1.332258065,1.03968254,1.155769231,1.588461538,1.463043478,1.396296296,1.702702703,1.173809524,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.862936508,Chimacum,104,FS73,,,
Chim.102.FS76,1.361111111,1.14516129,0.911111111,1.007692308,1.396153846,1.341304348,1.251851852,1.594594595,1.026190476,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.756222222,Chimacum,102,FS76,,,
Chim.107.FS78,1.422222222,1.316129032,0.977777778,1,1.507692308,1.423913043,1.244444444,1.297297297,1.123809524,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.811555556,Chimacum,107,FS78,,,
Quil.107.FS84,1.583333333,1.406451613,1.065079365,1.176923077,1.580769231,1.532608696,1.366666667,1.472972973,1.238095238,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.884015873,Quilcene,107,FS84,,,
Quil.106.FS85,1.55,1.351612903,1.03015873,1.121153846,1.580769231,1.5,1.307407407,1.554054054,1.192857143,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.855031746,Quilcene,106,FS85,,,
Quil.108.FS86,1.55,1.361290323,1.046031746,1.186538462,1.657692308,1.541304348,1.377777778,1.364864865,1.207142857,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.868206349,Quilcene,108,FS86,,,
Quil.104.FS87,1.455555556,1.361290323,1.026984127,1.190384615,1.623076923,1.508695652,1.388888889,1.391891892,1.183333333,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.852396825,Quilcene,104,FS87,,,
Quil.108.FS90,1.544444444,1.329032258,1.015873016,1.165384615,1.619230769,1.5,1.340740741,1.135135135,1.161904762,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.843174603,Quilcene,108,FS90,,,
Quil.105.FS92,1.505555556,1.309677419,1.007936508,1.105769231,1.657692308,1.452173913,1.314814815,1.378378378,1.147619048,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.836587302,Quilcene,105,FS92,,,
Quil.102.FS12,1.427777778,1.283870968,1.011111111,1.175,1.530769231,1.480434783,1.377777778,1.310810811,1.138095238,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.839222222,Quilcene,102,FS12,,,
Quil.102.FS17,1.616666667,1.380645161,1.087301587,1.267307692,1.646153846,1.582608696,1.488888889,1.27027027,1.223809524,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.902460317,Quilcene,102,FS17,,,
Quil.108.FS18,1.55,1.351612903,1.063492063,1.217307692,1.680769231,1.536956522,1.448148148,1.256756757,1.195238095,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.882698413,Quilcene,108,FS18,,,
Quil.104.FS20,1.472222222,1.267741935,0.99047619,1.134615385,1.646153846,1.469565217,1.32962963,1.391891892,1.14047619,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.822095238,Quilcene,104,FS20,,,
Quil.104.FS21,1.388888889,1.235483871,0.965079365,1.121153846,1.473076923,1.376086957,1.296296296,1.243243243,1.09047619,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.801015873,Quilcene,104,FS21,,,
Quil.102.FS23,1.494444444,1.34516129,1.058730159,1.211538462,1.603846154,1.530434783,1.407407407,2,1.211904762,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.878746032,Quilcene,102,FS23,,,
Quil.107.FS3,1.494444444,1.264516129,0.984126984,1.082692308,1.476923077,1.436956522,1.3,1.108108108,1.107142857,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.816825397,Quilcene,107,FS3,,,
Quil.102.FS25,1.488888889,1.312903226,1.03015873,1.198076923,1.596153846,1.504347826,1.440740741,1.283783784,1.152380952,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.855031746,Quilcene,102,FS25,,,
Quil.104.FS28,1.505555556,1.296774194,1.025396825,1.192307692,1.646153846,1.480434783,1.392592593,1.297297297,1.164285714,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.851079365,Quilcene,104,FS28,,,
Quil.104.FS30,1.416666667,1.248387097,0.99047619,1.132692308,1.588461538,1.413043478,1.333333333,1.310810811,1.130952381,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.822095238,Quilcene,104,FS30,,,
Quil.102.FS36,1.366666667,1.24516129,0.961904762,1.113461538,1.484615385,1.373913043,1.333333333,1.310810811,1.088095238,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.798380952,Quilcene,102,FS36,,,
Quil.106.FS37,1.583333333,1.351612903,1.061904762,1.167307692,1.511538462,1.513043478,1.422222222,0.959459459,1.19047619,.,.,.,.,.,.,.,LIMITING,.,Trp_Score,9,0.796351351,Quilcene,106,FS37,,,
Quil.104.FS38,1.444444444,1.232258065,0.968253968,1.078846154,1.503846154,1.397826087,1.296296296,0.986486486,1.085714286,.,.,LIMITING,.,.,.,.,LIMITING,.,Leu_Score,4,0.803650794,Quilcene,104,FS38,,,
Quil.102.FS40,1.388888889,1.222580645,0.955555556,1.109615385,1.457692308,1.402173913,1.274074074,1.283783784,1.085714286,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.793111111,Quilcene,102,FS40,,,
Quil.102.FS5,1.45,1.264516129,0.984126984,1.146153846,1.569230769,1.436956522,1.359259259,1.108108108,1.126190476,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.816825397,Quilcene,102,FS5,,,
Quil.106.FS49,1.555555556,1.341935484,1.025396825,1.094230769,1.503846154,1.47826087,1.322222222,0.918918919,1.152380952,.,.,.,.,.,.,.,LIMITING,.,Trp_Score,9,0.762702703,Quilcene,106,FS49,,,
Quil.107.FS50,1.483333333,1.277419355,0.982539683,1.042307692,1.453846154,1.419565217,1.274074074,1.391891892,1.104761905,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.815507937,Quilcene,107,FS50,,,
Quil.108.FS51,1.433333333,1.277419355,0.993650794,1.151923077,1.630769231,1.42173913,1.362962963,1.621621622,1.14047619,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.824730159,Quilcene,108,FS51,,,
Quil.104.FS53,1.405555556,1.238709677,0.928571429,1.075,1.476923077,1.367391304,1.262962963,1.540540541,1.05952381,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.770714286,Quilcene,104,FS53,,,
Quil.108.FS56,1.383333333,1.180645161,0.936507937,1.071153846,1.534615385,1.373913043,1.262962963,1.351351351,1.069047619,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.777301587,Quilcene,108,FS56,,,
Quil.107.FS7,1.383333333,1.219354839,0.961904762,1.090384615,1.492307692,1.404347826,1.288888889,1.608108108,1.111904762,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.798380952,Quilcene,107,FS7,,,
Quil.104.FS59,1.45,1.261290323,0.979365079,1.136538462,1.503846154,1.397826087,1.351851852,1.405405405,1.116666667,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.812873016,Quilcene,104,FS59,,,
Quil.107.FS65,1.461111111,1.274193548,0.988888889,1.096153846,1.519230769,1.430434783,1.333333333,1.297297297,1.128571429,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.820777778,Quilcene,107,FS65,,,
Quil.108.FS66,1.461111111,1.274193548,0.988888889,1.148076923,1.588461538,1.430434783,1.333333333,1.540540541,1.128571429,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.820777778,Quilcene,108,FS66,,,
Quil.108.FS70,1.411111111,1.24516129,0.973015873,1.128846154,1.584615385,1.447826087,1.32962963,1.418918919,1.126190476,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.807603175,Quilcene,108,FS70,,,
Quil.107.FS72,1.494444444,1.341935484,1.036507937,1.146153846,1.538461538,1.526086957,1.392592593,1.432432432,1.185714286,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.860301587,Quilcene,107,FS72,,,
Quil.104.FS73,1.4,1.235483871,0.949206349,1.096153846,1.511538462,1.382608696,1.314814815,1.256756757,1.09047619,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.78784127,Quilcene,104,FS73,,,
Quil.102.FS9,1.466666667,1.309677419,1.019047619,1.178846154,1.561538462,1.476086957,1.396296296,1.527027027,1.169047619,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.845809524,Quilcene,102,FS9,,,
Quil.104.FS75,1.477777778,1.261290323,0.973015873,1.076923077,1.538461538,1.42826087,1.281481481,1.554054054,1.1,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.807603175,Quilcene,104,FS75,,,
Quil.102.FS76,1.405555556,1.251612903,0.974603175,1.128846154,1.492307692,1.432608696,1.337037037,1.459459459,1.116666667,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.808920635,Quilcene,102,FS76,,,
Quil.104.FS77,1.5,1.319354839,1.017460317,1.198076923,1.646153846,1.473913043,1.411111111,1.756756757,1.15,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.844492063,Quilcene,104,FS77,,,
Sq.108.FS86,1.516666667,1.293548387,1.001587302,1.115384615,1.542307692,1.463043478,1.359259259,1.608108108,1.157142857,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.83131746,Sequim,108,FS86,,,
Sq.104.FS88,1.405555556,1.235483871,0.953968254,1.071153846,1.473076923,1.382608696,1.259259259,1.648648649,1.078571429,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.791793651,Sequim,104,FS88,,,
Sq.105.FS92,1.55,1.338709677,1.020634921,1.073076923,1.626923077,1.489130435,1.348148148,1.378378378,1.169047619,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.847126984,Sequim,105,FS92,,,
Sq.108.FS11,1.388888889,1.225806452,0.949206349,1.071153846,1.523076923,1.386956522,1.255555556,1.527027027,1.095238095,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.78784127,Sequim,108,FS11,,,
Sq.102.FS17,1.322222222,1.164516129,0.898412698,1.009615385,1.323076923,1.3,1.185185185,1.662162162,1.033333333,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.74568254,Sequim,102,FS17,,,
Sq.104.FS20,1.411111111,1.229032258,0.941269841,1.042307692,1.5,1.363043478,1.225925926,1.486486486,1.069047619,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.781253968,Sequim,104,FS20,,,
Sq.104.FS21,1.505555556,1.270967742,0.973015873,1.111538462,1.55,1.42826087,1.296296296,1.77027027,1.104761905,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.807603175,Sequim,104,FS21,,,
Sq.0.CO407Dave,1.488888889,1.258064516,0.971428571,1.088461538,1.561538462,1.413043478,1.303703704,1.554054054,1.092857143,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.806285714,Sequim,0,CO407Dave,,,
Sq.102.FS24,1.511111111,1.277419355,0.982539683,1.126923077,1.523076923,1.434782609,1.314814815,1.675675676,1.14047619,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.815507937,Sequim,102,FS24,,,
Sq.108.FS26,1.505555556,1.312903226,0.996825397,1.125,1.534615385,1.456521739,1.318518519,1.837837838,1.15,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.827365079,Sequim,108,FS26,,,
Sq.104.FS27,1.461111111,1.241935484,0.958730159,1.094230769,1.584615385,1.42826087,1.266666667,1.297297297,1.126190476,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.795746032,Sequim,104,FS27,,,
Sq.104.FS28,1.438888889,1.212903226,0.968253968,1.094230769,1.607692308,1.436956522,1.333333333,1.689189189,1.076190476,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.803650794,Sequim,104,FS28,,,
Sq.0.Cherry Vanilla,1.405555556,1.238709677,0.957142857,1.075,1.511538462,1.404347826,1.262962963,1.540540541,1.123809524,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.794428571,Sequim,0,Cherry Vanilla,,,
Sq.102.FS36,1.511111111,1.290322581,0.99047619,1.092307692,1.476923077,1.423913043,1.303703704,1.621621622,1.123809524,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.822095238,Sequim,102,FS36,,,
Sq.106.FS37,1.494444444,1.316129032,0.977777778,1.034615385,1.503846154,1.358695652,1.285185185,1.405405405,1.135714286,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.811555556,Sequim,106,FS37,,,
Sq.108.FS42,1.544444444,1.361290323,1.017460317,1.086538462,1.588461538,1.430434783,1.344444444,1.486486486,1.164285714,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.844492063,Sequim,108,FS42,,,
Sq.104.FS45,1.394444444,1.241935484,0.944444444,1.078846154,1.546153846,1.365217391,1.27037037,1.581081081,1.097619048,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.783888889,Sequim,104,FS45,,,
Sq.106.FS49,1.577777778,1.348387097,0.995238095,1.019230769,1.492307692,1.380434783,1.244444444,1.418918919,1.121428571,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.826047619,Sequim,106,FS49,,,
Sq.102.FS52,1.35,1.187096774,0.903174603,0.998076923,1.384615385,1.32826087,1.177777778,1.581081081,1.035714286,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.749634921,Sequim,102,FS52,,,
Sq.108.FS54,1.472222222,1.25483871,0.973015873,1.1,1.530769231,1.423913043,1.288888889,1.22972973,1.123809524,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.807603175,Sequim,108,FS54,,,
Sq.0.Kaslaea,1.572222222,1.341935484,1.03015873,1.153846154,1.665384615,1.519565217,1.355555556,1.581081081,1.20952381,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.855031746,Sequim,0,Kaslaea,,,
Sq.104.FS59,1.416666667,1.219354839,0.926984127,1.059615385,1.488461538,1.358695652,1.248148148,1.662162162,1.076190476,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.769396825,Sequim,104,FS59,,,
Sq.107.FS65,1.433333333,1.248387097,0.947619048,1.007692308,1.519230769,1.35,1.255555556,1.418918919,1.076190476,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.78652381,Sequim,107,FS65,,,
Sq.102.FS8,1.583333333,1.380645161,1.061904762,1.217307692,1.646153846,1.57173913,1.455555556,1.567567568,1.230952381,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.881380952,Sequim,102,FS8,,,
Sq.108.FS69,1.538888889,1.3,0.998412698,1.128846154,1.580769231,1.47826087,1.337037037,1.581081081,1.15952381,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.82868254,Sequim,108,FS69,,,
Sq.104.FS71,1.566666667,1.335483871,1.007936508,1.153846154,1.592307692,1.456521739,1.340740741,1.662162162,1.154761905,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.836587302,Sequim,104,FS71,,,
Sq.102.FS76,1.455555556,1.280645161,0.977777778,1.086538462,1.526923077,1.413043478,1.311111111,1.594594595,1.126190476,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.811555556,Sequim,102,FS76,,,
Sq.107.FS78,1.405555556,1.277419355,0.961904762,1.019230769,1.488461538,1.408695652,1.277777778,1.364864865,1.121428571,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.798380952,Sequim,107,FS78,,,
Sq.104.FS80,1.572222222,1.325806452,1.033333333,1.151923077,1.646153846,1.506521739,1.362962963,1.5,1.202380952,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.857666667,Sequim,104,FS80,,,
Sq.108.FS81,1.466666667,1.290322581,0.995238095,1.136538462,1.573076923,1.463043478,1.348148148,1.594594595,1.169047619,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.826047619,Sequim,108,FS81,,,
MV.110.17GR.i,1.416666667,1.258064516,0.947619048,1.040384615,1.5,1.419565217,1.266666667,1.405405405,1.119047619,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.78652381,Mount Vernon,110,17GR,,,i
MV.110.3UISE.i,1.355555556,1.264516129,0.966666667,0.971153846,1.407692308,1.4,1.288888889,1.405405405,1.15952381,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.802333333,Mount Vernon,110,3UISE,,,i
MV.110.Japanese Strain.i,1.477777778,1.274193548,0.968253968,1.025,1.453846154,1.476086957,1.303703704,1.391891892,1.126190476,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.803650794,Mount Vernon,110,Japanese Strain,,,i
MV.110.QQ74.i,1.4,1.283870968,0.985714286,1.121153846,1.530769231,1.434782609,1.32962963,1.310810811,1.154761905,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.818142857,Mount Vernon,110,QQ74,,,i
MV.110.17GR,1.361111111,1.158064516,0.893650794,0.973076923,1.446153846,1.347826087,1.211111111,1.324324324,1.05,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.741730159,Mount Vernon,110,17GR,,,
MV.110.3UISE,1.405555556,1.293548387,0.968253968,0.973076923,1.342307692,1.42173913,1.225925926,1.175675676,1.142857143,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.803650794,Mount Vernon,110,3UISE,,,
MV.110.Baer.ni,1.438888889,1.296774194,0.988888889,1.086538462,1.619230769,1.47826087,1.348148148,1.418918919,1.164285714,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.820777778,Mount Vernon,110,Baer,,,ni
MV.110.Japanese Strain.ni,1.5,1.306451613,0.985714286,1.021153846,1.592307692,1.506521739,1.333333333,1.216216216,1.157142857,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.818142857,Mount Vernon,110,Japanese Strain,,,ni
MV.110.QQ74.ni,1.272222222,1.190322581,0.917460317,1.015384615,1.492307692,1.32173913,1.255555556,1.486486486,1.066666667,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.761492063,Mount Vernon,110,QQ74,,,ni